2025-10-15_01-42-01 | Pieces: 12 | G2-0: 0 | G2-1: 1 | G2-2: 8 | G2-3: 3 | G2-4: 0
2025-10-15_01-44-42 | Pieces: 14 | G2-0: 0 | G2-1: 1 | G2-2: 10 | G2-3: 3 | G2-4: 0
2025-10-15_01-51-49 | Pieces: 21 | G2-0: 1 | G2-1: 1 | G2-2: 10 | G2-3: 9 | G2-4: 0
2025-10-15_01-54-35 | Pieces: 23 | G2-0: 1 | G2-1: 1 | G2-2: 10 | G2-3: 10 | G2-4: 1
2025-10-15_01-55-39 | Pieces: 24 | G2-0: 1 | G2-1: 1 | G2-2: 11 | G2-3: 10 | G2-4: 1
2025-10-15_01-56-54 | Pieces: 25 | G2-0: 1 | G2-1: 1 | G2-2: 12 | G2-3: 10 | G2-4: 1
2025-10-15_02-00-56 | Pieces: 29 | G2-0: 2 | G2-1: 1 | G2-2: 13 | G2-3: 12 | G2-4: 1
2025-10-15_02-09-27 | Pieces: 37 | G2-0: 2 | G2-1: 1 | G2-2: 17 | G2-3: 16 | G2-4: 1
2025-10-15_02-12-55 | Pieces: 40 | G2-0: 2 | G2-1: 1 | G2-2: 17 | G2-3: 19 | G2-4: 1
2025-10-15_02-15-43 | Pieces: 42 | G2-0: 2 | G2-1: 1 | G2-2: 17 | G2-3: 21 | G2-4: 1
2025-10-15_02-17-06 | Pieces: 43 | G2-0: 2 | G2-1: 1 | G2-2: 17 | G2-3: 22 | G2-4: 1
2025-10-15_02-19-02 | Pieces: 44 | G2-0: 3 | G2-1: 1 | G2-2: 17 | G2-3: 22 | G2-4: 1
2025-10-15_02-22-04 | Pieces: 46 | G2-0: 3 | G2-1: 1 | G2-2: 17 | G2-3: 24 | G2-4: 1
2025-10-15_02-30-28 | Pieces: 47 | G2-0: 3 | G2-1: 1 | G2-2: 17 | G2-3: 25 | G2-4: 1
2025-10-15_02-35-42 | Pieces: 52 | G2-0: 3 | G2-1: 3 | G2-2: 20 | G2-3: 25 | G2-4: 1
2025-10-15_02-37-49 | Pieces: 54 | G2-0: 3 | G2-1: 3 | G2-2: 21 | G2-3: 26 | G2-4: 1
2025-10-15_02-39-12 | Pieces: 55 | G2-0: 3 | G2-1: 3 | G2-2: 21 | G2-3: 27 | G2-4: 1
2025-10-15_02-43-38 | Pieces: 57 | G2-0: 3 | G2-1: 3 | G2-2: 22 | G2-3: 28 | G2-4: 1
2025-10-15_02-47-27 | Pieces: 59 | G2-0: 3 | G2-1: 3 | G2-2: 24 | G2-3: 28 | G2-4: 1
2025-10-15_02-50-29 | Pieces: 61 | G2-0: 3 | G2-1: 3 | G2-2: 24 | G2-3: 30 | G2-4: 1
2025-10-15_02-53-54 | Pieces: 63 | G2-0: 3 | G2-1: 3 | G2-2: 25 | G2-3: 31 | G2-4: 1
2025-10-15_03-00-31 | Pieces: 69 | G2-0: 3 | G2-1: 3 | G2-2: 27 | G2-3: 35 | G2-4: 1
2025-10-15_03-01-47 | Pieces: 69 | G2-0: 3 | G2-1: 3 | G2-2: 27 | G2-3: 35 | G2-4: 1
2025-10-15_03-03-34 | Pieces: 70 | G2-0: 3 | G2-1: 3 | G2-2: 28 | G2-3: 35 | G2-4: 1
